Gene ID,SRR975555,SRR975571,SRR975553,SRR975556,SRR975574,SRR975554,SRR975558,SRR975557,SRR975578,SRR975569,SRR975572,SRR975551,SRR975552,SRR975559,SRR975577,SRR975575,SRR975560,SRR975570,SRR975573,SRR975576
ENSG00000000003,874,1366,867,754,764,1957,759,116,594,1726,1324,3810,775,1202,774,521,1065,394,571,783
ENSG00000000005,4,11,12,3,9,13,1,6,4,9,10,45,1,3,13,2,3,1,13,2
ENSG00000000419,978,432,293,188,182,646,374,149,145,456,277,1574,404,588,206,220,384,157,229,192
ENSG00000000457,221,309,207,150,158,119,247,82,133,330,255,250,357,97,214,150,133,133,182,146
ENSG00000000460,109,42,38,15,35,119,88,21,13,72,34,232,188,94,30,38,37,20,37,19
ENSG00000000938,84,121,89,39,61,65,137,137,42,67,59,31,59,66,50,53,66,23,44,46
ENSG00000000971,201,1615,1035,515,419,243,705,2228,386,1916,887,427,369,419,871,772,518,354,640,471
ENSG00000001036,991,914,623,462,416,931,1044,244,403,927,774,1244,874,644,666,541,709,353,438,484
ENSG00000001084,693,650,421,263,361,806,505,253,303,716,619,1005,1745,494,484,399,366,255,430,280
ENSG00000001167,539,464,273,201,195,638,470,131,177,479,401,832,981,457,271,281,275,164,256,211
ENSG00000001460,176,229,138,81,145,61,187,59,189,196,131,109,109,118,218,107,157,105,183,106
ENSG00000001461,983,655,419,390,459,285,988,362,502,869,621,683,672,492,601,463,419,341,629,387
ENSG00000001497,589,508,328,232,231,690,519,283,170,387,354,1234,720,749,386,329,452,160,269,295
ENSG00000001561,458,621,377,227,230,228,341,130,210,667,456,356,440,247,391,274,260,206,254,229
ENSG00000001617,571,218,164,158,175,166,314,213,128,227,208,113,575,650,149,233,411,89,94,198
ENSG00000001626,3752,2987,1993,1941,1507,691,2308,10,1186,4234,3314,1977,1280,2087,1554,2400,898,1518,1724,2011
ENSG00000001629,840,787,483,388,429,456,818,361,276,900,611,1158,1007,397,441,434,330,292,423,373
ENSG00000001630,171,84,61,66,73,123,112,21,40,94,75,126,106,55,64,74,58,20,48,57
ENSG00000001631,112,105,66,58,42,111,122,58,32,94,93,192,127,70,83,65,49,39,61,77
ENSG00000002016,136,246,173,87,93,101,113,43,130,211,169,142,179,66,127,93,89,94,166,152
ENSG00000002079,3,0,2,2,0,1,8,0,1,0,0,5,0,2,1,1,1,0,0,1
ENSG00000002330,210,249,166,171,187,89,277,110,225,192,284,206,163,179,210,216,346,104,170,193
ENSG00000002549,2057,1973,1275,631,963,824,2136,927,695,1062,901,1384,961,1021,1040,795,810,482,860,635
ENSG00000002586,1027,1611,920,1185,1287,1592,1577,1671,1283,1863,1372,3702,671,2441,1614,1004,1563,598,1098,1033
ENSG00000002587,103,144,73,49,72,163,237,35,80,78,80,65,73,82,74,76,91,44,61,62
ENSG00000002726,1803,5649,3729,3597,2627,910,2651,16,5157,3525,4161,1935,1444,764,4078,3763,4201,1797,3317,2665
ENSG00000002745,0,3,1,1,1,1,5,4,0,2,1,0,0,1,1,4,1,1,1,1
