Gene ID,GSM7587683,GSM7587684,GSM7587685,GSM7587686,GSM7587687,GSM7587688,GSM7587689,GSM7587690,GSM7587691,GSM7587692,GSM7587693,GSM7587694,GSM7587695,GSM7587696,GSM7587697,GSM7587698,GSM7587699,GSM7587700,GSM7587701,GSM7587702,GSM7587703,GSM7587704,GSM7587705,GSM7587706,GSM7587707,GSM7587708,GSM7587709,GSM7587710,GSM7587711,GSM7587712,GSM7587713,GSM7587714,GSM7587715,GSM7587716
A2M,13.07111659,13.51560391,13.28865316,13.80159576,13.15427584,13.4474388,13.09915372,13.60590794,12.49048113,13.09043986,13.52038638,13.51544879,13.29745584,13.61575596,13.55652725,12.98489008,13.313483,13.07978208,13.71017895,13.10051904,13.12508911,14.10934649,13.37001465,13.37970316,13.33292696,13.66819564,13.39897116,14.38842317,13.25107722,13.87548103,14.00449187,13.17093908,12.3079948,13.41047653
ABCB1,9.946162969,10.54334206,9.608471605,10.06636707,12.1522707,9.815142786,10.6307539,9.783274198,9.565684983,10.31181898,10.80122576,10.91826755,10.27192075,10.17610591,10.4488072,9.381780233,9.821512039,9.773394832,10.08961287,9.884416416,9.348488332,10.04477832,9.889346178,9.471977917,9.685504773,9.919030858,10.88340755,10.16281653,10.04466897,10.36462363,10.37682336,9.636499,9.932299602,10.59364715
ABL1,10.34566731,10.54896661,10.40520234,10.27880602,10.25238592,10.14634869,9.944673775,10.27259309,9.922946151,9.962763705,10.53095979,10.15008323,9.941612987,10.32401459,10.0337697,9.824513806,10.31242189,10.37882144,10.57896346,10.63351861,10.20305789,10.671199,10.60901899,10.21793229,10.45164993,10.96235153,10.49057068,11.25547117,10.76413466,10.72089155,10.85759866,10.14040049,9.975868617,10.68164363
ADA,9.222631045,8.920552594,9.11634607,9.12433467,8.191202408,9.436975851,9.912188813,8.895909396,9.781248066,9.207425741,8.464190774,9.059976313,9.638816753,8.30098766,9.240220577,9.750424827,9.637931044,9.308432108,8.964309275,9.261401032,9.335252504,8.601597272,9.228766631,9.850874824,9.130331979,8.216304776,9.305459273,8.478238404,8.539323641,9.273432569,8.332429244,9.188706683,9.475842175,8.423722152
ADORA2A,8.779165137,8.688000307,8.618605982,8.287656936,7.185984698,8.000876736,9.574100929,8.195098566,8.388288732,8.083000288,7.955031098,7.878003684,8.657698219,7.46295514,8.507700888,8.43114631,8.679493034,9.340582631,8.5096424,9.189810777,9.195753091,8.012495041,8.637320096,9.340971905,9.090125657,8.046844486,8.186160344,8.078707491,8.268522352,8.641164354,8.477479577,9.338207269,9.553107301,9.25039055
AICDA,8.143063787,5.733166623,7.618605982,6.911790034,5.53689186,8.09474366,6.646294753,7.758999452,9.395014595,7.730247067,6.286652589,7.161310484,7.569808986,6.227738678,7.094142317,9.651646672,9.41528761,9.36031885,7.025709819,9.386750019,8.750290004,6.529553477,8.874949957,9.033371947,8.187150111,4.008709357,4.952670214,5.290211596,6.202798169,8.455994396,6.522760456,8.220850319,9.698234596,6.740195817
AIRE,7.918190376,8.585001215,7.394288683,5.911790034,5.286913607,5.498376396,9.337190699,7.037186083,7.646821746,8.098825255,7.378150943,7.453863977,7.961090362,7.017815609,8.358161834,7.186523942,7.18526031,7.509182235,7.900178937,8.861561363,7.55859438,6.439916265,8.235221653,7.924104735,7.332098447,5.616391934,4.872499866,5.223097401,6.529608486,6.029729642,6.917391745,7.155830527,7.796836184,7.578444747
AKT3,9.993331192,10.7138931,10.81395358,11.53906334,10.15427584,10.70968532,11.34090967,10.71256388,10.54264945,10.94973376,10.91808952,11.11730949,11.07017548,10.60856046,11.30933713,10.65542831,10.83799263,11.03458789,10.87065432,10.50944341,10.71835951,11.00157139,10.80290616,11.01972934,10.89389178,10.10924655,11.04414134,11.35287105,10.59045045,10.7201157,10.9011162,10.9299166,10.95341053,11.57691566
ALCAM,9.287984783,9.416786176,9.27853054,9.426363207,9.547102059,9.561386193,9.395573609,9.233191738,9.399481147,9.757088679,9.655886398,9.86947205,9.504937009,10.05216711,9.279748941,9.718244421,8.898956125,9.2074443,9.24361485,9.011835643,8.852924916,9.383332736,8.947502984,8.856641767,9.238989043,9.279950038,9.412101833,9.808059901,8.783679493,9.210743822,8.85759866,8.999272749,8.808005492,9.191656725
AMBP,6.630613786,7.713267065,4.237784198,3.39394173,5.601022198,4.806498691,8.625536193,4.494658848,4.38378734,8.214705967,6.801225762,7.349755574,5.76607438,4.964704273,7.589669735,4.077999485,3.734049198,3.924219735,3.724540285,6.700249492,3.44817039,2.961868968,4.427866731,3.887015416,4.244635606,3.52328253,3.328179349,3.415742479,3.905117621,4.181732735,3.631989526,4.103742016,3.789341648,4.695801698
AMICA1,11.49734726,11.24248069,11.20452996,11.81868063,10.35009003,11.67828549,11.25002706,11.61314859,11.74967231,11.08432569,10.56764424,10.53054429,11.69515106,11.26574312,11.93530706,11.33774275,10.87104031,11.53285506,11.46841297,10.88936806,11.28450771,11.544683,11.04441557,11.19687068,12.28012206,10.38953114,10.97623728,10.35923409,11.3835502,11.44758216,10.30794656,12.15134712,12.4708729,12.03119205
ANP32B,12.20537425,12.05706966,12.3323018,12.34283985,12.34717136,12.64933251,12.25847872,12.52015955,12.80543143,12.20438144,12.44436042,12.409238,12.44913054,12.36344796,12.37681302,12.94334613,12.55642086,12.63299934,12.23572817,12.50114939,12.61216306,12.59512371,12.83831808,12.49311213,12.56430773,11.74985528,11.86604484,11.97352525,12.12549595,12.29833662,12.06000067,12.36721836,13.07146479,12.92762288
ANXA1,11.34889482,11.69974121,11.37776182,12.10662504,13.0735806,12.06461169,10.67351622,11.88809594,11.64916797,11.58892857,11.38769029,11.83964448,11.59184216,12.11648193,11.83936201,11.55069032,11.27320801,11.45054636,11.61979096,11.6531987,11.32021559,11.7678431,11.62815234,11.76097212,12.04715197,11.7972335,11.24056974,12.26175515,11.48882724,12.27105079,11.66999397,11.86451088,11.96135237,11.66734525
APOE,11.71464052,11.98576726,12.62687772,12.66604129,9.742796159,11.94801637,11.73214022,12.62573292,12.2516838,11.70030569,10.91670298,11.63942947,12.15295792,11.80579682,12.51572433,12.14307897,12.5522319,13.54098478,12.45270376,13.07124819,13.25112729,12.44712327,13.21004592,13.7739821,13.28406877,11.83918684,13.442247,11.56421906,12.76672153,13.10446578,12.52022541,12.7358819,12.57914696,12.20755435
APP,13.28050393,13.37652865,13.07908645,12.93925727,13.12373165,12.71777543,11.53149722,13.49183833,12.41390267,12.57084032,13.43676251,13.42664387,12.10185648,13.51910126,12.53463711,12.66975556,13.0738992,13.02534574,13.68753954,13.08379951,12.91947611,13.63656567,13.54307298,12.37886851,13.39311219,14.07370868,13.42730796,14.02153063,13.72582845,13.46064675,13.89867848,12.83705648,12.40190303,13.18815564
ARG1,6.40113194,7.824112834,4.740284538,4.021972952,3.884815164,4.691021474,8.676883073,4.829077887,3.762298963,8.421802201,6.905562421,7.749996071,5.999273556,5.812701179,7.870764112,4.165462326,2.9039742,4.644111816,3.376616981,7.052765907,3.895629367,2.961868968,4.128306449,4.002492634,3.414560607,2.616391934,4.202648467,2.415742479,3.905117621,3.181732735,3.631989526,3.716718893,3.904818865,4.943729211
ARG2,7.018884376,7.444208872,5.207410549,5.256438206,7.577306129,6.427987068,7.590260718,5.803986906,5.705715435,7.550126298,7.161121707,6.673645185,6.103109367,6.852229543,6.983583942,4.832886987,5.664786536,5.719399943,5.561041552,7.368628001,5.158663773,5.882434501,6.358604068,6.491877475,5.85934545,6.042656689,7.491409698,6.784976288,5.96401131,6.614692142,5.854381947,5.87426017,5.696232243,6.718169511
ATF1,9.459030324,9.242046731,9.642925661,9.97890423,9.953977188,9.815142786,9.296183891,9.822845934,9.985186731,9.680286067,9.629044786,9.831321641,9.896080371,9.86918837,9.568546443,9.934425013,9.417043782,9.464290778,9.481334853,9.418415379,9.518169325,9.638329823,9.436295353,9.589765295,9.412053752,9.508175637,9.721927308,9.59233121,9.642083215,9.668768815,9.424237555,9.425670111,9.286528189,9.070841129
ATF2,10.80171698,10.5594539,10.9668384,11.30791907,10.78136382,10.96014815,10.49524551,11.03246808,10.92604539,10.5072901,10.64922267,10.80740168,11.02594151,10.92702193,10.84112462,10.88374336,10.82151204,10.81188835,10.82106721,10.41743629,10.69782258,10.92847741,10.80616159,10.87759216,10.73749023,10.62761919,10.8589108,10.92551748,10.6588915,10.63705996,10.66816314,10.83725587,10.70223098,10.71816951
